"Gender","Age","UGPG","Year","College","Pill1","Pill2","Pill3","Pill4","Pill5","Pill6","Cream1","Cream2","Cream3","Cream4","Cream5","Cream6","Inj1","Inj2","Inj3","Inj4","Inj5","Inj6","Acu1","Acu2","Acu3","Acu4","Acu5","Acu6","PillTot","CreamTot","InjTot","AcuTot"
"Female",20,"Undergrad",3,"Bus & Law",4,4,4,4,4,4,3,4,3,4,4,4,2,4,3,4,4,4,4,4,3,4,4,4,24,22,21,23
"Female",21,"Undergrad",3,"SEFS",4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,23,24,30,30
"Female",19,"Undergrad",2,"Bus & Law",4,4,4,5,5,4,4,4,3,4,4,4,5,5,3,5,5,5,5,5,5,5,5,5,26,23,28,30
"Male",25,"Undergrad",2,"Medicine & Health",5,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,2,2,2,2,2,2,25,25,30,12
"Female",26,"Postgraduate",1,"Arts",5,5,5,5,5,5,4,4,4,4,4,4,4,5,3,5,5,5,4,4,3,4,4,4,30,24,27,23
"Male",41,"Undergrad",1,"Bus & Law",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6
"Male",18,"Undergrad",1,"SEFS",4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,24,12,24,6
"Male",19,"Undergrad",1,"SEFS",4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,24,12,24,6
"Female",20,"Undergrad",2,"Arts",4,4,3,3,2,4,1,2,3,3,2,3,3,3,3,3,3,3,2,3,2,3,2,2,20,14,18,14
"Male",21,"Postgraduate",4,"Arts",2,2,1,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,10,12,18,18
"Female",19,"Undergrad",1,"Arts",4,5,5,5,4,4,2,1,2,2,2,2,5,4,5,5,5,5,5,5,5,5,5,5,27,11,29,30
"Female",19,"Undergrad",1,"SEFS",3,4,4,4,4,4,3,4,2,4,4,4,5,4,4,4,5,4,3,3,3,4,4,4,23,21,26,21
"Male",19,"Undergrad",1,"SEFS",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,24,24,24,25
"Female",18,"Undergrad",1,"SEFS",4,4,3,4,4,4,4,3,3,3,4,4,2,2,2,2,2,2,3,3,3,3,3,3,23,21,12,18
"Female",20,"Undergrad",2,"Arts",4,4,4,4,4,3,2,3,4,3,4,5,3,3,4,4,4,4,3,4,4,4,4,4,23,21,22,23
"Female",19,"Undergrad",1,"Bus & Law",2,4,1,3,2,3,2,2,1,2,2,2,4,4,3,4,4,4,3,4,3,4,4,4,15,11,23,22
"Female",18,"Undergrad",1,"Arts",5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,25,25,25,25
"Female",19,"Undergrad",1,"Bus & Law",5,4,4,4,4,4,2,2,3,2,2,2,1,1,1,1,1,2,4,4,4,4,4,4,25,13,7,24
"Female",32,"Undergrad",2,"Arts",4,4,4,4,4,3,2,2,2,2,2,2,5,5,5,5,5,5,4,4,4,4,4,4,23,12,30,24
"Female",19,"Undergrad",1,"Medicine & Health",4,4,3,4,4,4,2,2,2,2,2,2,5,5,4,5,5,5,3,3,3,3,3,3,23,12,29,18
"Female",19,"Undergrad",1,"SEFS",4,4,4,5,4,5,2,3,2,3,3,3,4,4,4,5,5,5,5,4,4,4,4,4,26,16,27,25
