"Me","Improving","Them","Participant","Worse","BlockTime","Theirs","Failing","Mine","Sad","Better","Disimproving","Myself","Succeeding","Time","Date","Themselves","Correct","Block","Happy"
802,"NA",2354," 0007","NA"," 14160",1300.33333333,"NA",1114,"NA","NA","NA",1035,"NA"," 16:18:08","08/03/2011",1001.5,11,"Block 1:","NA"
"NA",878,"NA"," 0007",733," 13201","NA",1488.5,"NA",935.333333333,1499,"NA","NA",824," 16:18:08","08/03/2011","NA",12,"Block 2:",1107
1175,"NA","NA"," 0007",2629.5," 41742",841.666666667,778.5,1177,906.666666667,889.5,945,863.75,1926.66666667," 16:18:08","08/03/2011",797.333333333,33,"Block 3:",1389.8
903.25,"NA",630," 0007","NA"," 10129",607,"NA",671,"NA","NA","NA",604,"NA"," 16:18:08","08/03/2011",1133.33333333,11,"Block 4:","NA"
890.333333333,2163,1173.25," 0007",2073," 60840",1751.75,2517.33333333,1628.4,1365.75,1220.5,2441,656,"NA"," 16:18:08","08/03/2011",2001.33333333,28,"Block 5:",2489
1222.66666667,"NA","NA"," 0234","NA"," 22249",2247.5,"NA",1154.5,"NA","NA","NA",2579.5,"NA"," 13:22:16","08/04/2011",1459,12,"Block 1:","NA"
"NA",998,"NA"," 0234",1067," 20591","NA",684,"NA","NA","NA",4058.66666667,"NA","NA"," 13:22:16","08/04/2011","NA",11,"Block 2:",883
1505.4,682.5,639," 0234","NA"," 39752",1353.4,522,645,2160.66666667,712.5,1308.5,713.333333333,1795.5," 13:22:16","08/04/2011",755,34,"Block 3:",584
438,"NA",515.5," 0234","NA"," 17930",1775.5,"NA",1816,"NA","NA","NA",2736,"NA"," 13:22:16","08/04/2011",535,10,"Block 4:","NA"
1493.75,821,1047," 0234",2214," 44846",1022,1553.5,852.6,1249.83333333,"NA",1916.33333333,914,"NA"," 13:22:16","08/04/2011",568,32,"Block 5:",1189
1067,"NA",747.666666667," 0317","NA"," 11570",940.666666667,"NA",812.666666667,"NA","NA","NA","NA","NA"," 14:47:03","18/01/2011",1933,12,"Block 1:","NA"
"NA",763.5,"NA"," 0317","NA"," 13106","NA",823,"NA",1238.33333333,679,"NA","NA",796," 14:47:03","18/01/2011","NA",11,"Block 2:",1581
815.25,867.666666667,770.25," 0317",797.5," 33495",1089.5,1551.33333333,896.333333333,708,1126.5,1055,855.333333333,645," 14:47:03","18/01/2011",819.2,35,"Block 3:","NA"
742,"NA",930," 0317","NA"," 10305",760.666666667,"NA",1290.5,"NA","NA","NA",709.333333333,"NA"," 14:47:03","18/01/2011",900,12,"Block 4:","NA"
769,795,"NA"," 0317",989.5," 37543",1144.83333333,799.25,1143,1059,1725,1488,1293.5,758," 14:47:03","18/01/2011",809.4,34,"Block 5:",1293.33333333
582.5,"NA",1054," 0405","NA"," 9221",1226,"NA",673,"NA","NA","NA",578.5,"NA"," 12:19:13","09/03/2011","NA",12,"Block 1:","NA"
"NA",733.5,"NA"," 0405",946," 9282","NA",1075,"NA","NA",698.5,572,"NA",700," 12:19:13","09/03/2011","NA",12,"Block 2:",616.5
591,769.5,1051.33333333," 0405",931," 30094",1170,1012,895.8,660,835,726,572,841.5," 12:19:13","09/03/2011",749,34,"Block 3:",745
622.5,"NA",1173.66666667," 0405","NA"," 9453",585.5,"NA",778,"NA","NA","NA",592,"NA"," 12:19:13","09/03/2011",684,11,"Block 4:","NA"
707,1163.5,"NA"," 0405",1793," 48170",1957.75,1267,1095.75,1113,1321,1873,1164.33333333,1194," 12:19:13","09/03/2011",1223.5,29,"Block 5:",1520
624,"NA",970.75," 0473","NA"," 11125","NA","NA",579.5,"NA","NA","NA","NA","NA"," 12:23:46","04/04/2011",1208.75,12,"Block 1:","NA"
"NA",1605.33333333,"NA"," 0473","NA"," 12162","NA",915,"NA",715,859,864,"NA",738," 12:23:46","04/04/2011","NA",11,"Block 2:",840.5
717,1333.25,881," 0473",854," 32542",676.333333333,732.25,869,1028,1047,"NA",973.75,619," 12:23:46","04/04/2011",1327,35,"Block 3:","NA"
657,"NA",660.666666667," 0473","NA"," 10913",1326.5,"NA",870,"NA","NA","NA",562,"NA"," 12:23:46","04/04/2011",666,12,"Block 4:","NA"
1273.66666667,1129,1107.33333333," 0473",1256," 49273",2068.66666667,1215.33333333,756,1560.66666667,1222,1084.5,658,"NA"," 12:23:46","04/04/2011",1168.66666667,24,"Block 5:",2255
1052,"NA",1118," 0606","NA"," 13957","NA","NA","NA","NA","NA","NA",1153.5,"NA"," 12:20:04","16/03/2011",1416.5,12,"Block 1:","NA"
"NA",862.5,"NA"," 0606",557," 8116","NA",598,"NA",483,784,622,"NA",639," 12:20:04","16/03/2011","NA",12,"Block 2:",518
640,"NA",779," 0606",676," 40171",1209.33333333,3796,753.833333333,602,665,962.333333333,1080,1450.66666667," 12:20:04","16/03/2011",541,34,"Block 3:",526
491,"NA",981.4," 0606","NA"," 8917",640,"NA",601,"NA","NA","NA",564,"NA"," 12:20:04","16/03/2011",549,12,"Block 4:","NA"
1030.5,976.25,660.5," 0606","NA"," 39253",875.833333333,"NA",1108.66666667,1067.5,1293,2471,1125.66666667,779," 12:20:04","16/03/2011",1560.33333333,34,"Block 5:",1239
542.333333333,"NA",573.5," 0705","NA"," 6904",597,"NA",693,"NA","NA","NA",515,"NA"," 16:20:08","30/03/2011",576,12,"Block 1:","NA"
"NA",744,"NA"," 0705",767," 12744","NA",984,"NA",1498.5,686,863,"NA",1055," 16:20:08","30/03/2011","NA",11,"Block 2:",1340
1082.8,1068.33333333,666.5," 0705",873.5," 34068",820,890.333333333,656.8,1934,604,758,737.666666667,"NA"," 16:20:08","30/03/2011",1783.66666667,35,"Block 3:","NA"
626,"NA",1766.66666667," 0705","NA"," 11352",723,"NA",674,"NA","NA","NA",645,"NA"," 16:20:08","30/03/2011",677.5,12,"Block 4:","NA"
684,803,697.5," 0705","NA"," 32380",653,720.333333333,635,727,1777.5,1492,1225,832.5," 16:20:08","30/03/2011",769,36,"Block 5:",747.333333333
"NA","NA",686.5," 0833","NA"," 9258",851.333333333,"NA",576.666666667,"NA","NA","NA",729,"NA"," 13:26:52","28/03/2011",957.333333333,12,"Block 1:","NA"
"NA",1189.66666667,"NA"," 0833",764," 12501","NA","NA","NA",1045,"NA",1032,"NA",1220.33333333," 13:26:52","28/03/2011","NA",12,"Block 2:",692.5
1177.55555556,1624,1505.5," 0833","NA"," 60460",1916,1824,987,1867.5,"NA",3063,1701.5,1706," 13:26:52","28/03/2011",2148.33333333,36,"Block 3:",1516.4
1802.66666667,"NA",903," 0833","NA"," 33351",8394,"NA",2067.5,"NA","NA","NA",1277.5,"NA"," 13:26:52","28/03/2011",1781,11,"Block 4:","NA"
864,1909,"NA"," 0833",1428.5," 71202",1098.8,4057.66666667,1961.75,1557.5,"NA",1103,2047,1780.5," 13:26:52","28/03/2011",2547.83333333,32,"Block 5:",2231
650,"NA",1112," 0856","NA"," 11224",1113.5,"NA",946.5,"NA","NA","NA",995,"NA"," 11:26:03","08/03/2011",902,12,"Block 1:","NA"
"NA","NA","NA"," 0856",1024," 9826","NA",588,"NA",665,666,867.5,"NA",1135.5," 11:26:03","08/03/2011","NA",12,"Block 2:",763
725,1160.66666667,1347.5," 0856",1109," 36647",611,867.25,1103,1082,615,964.5,685,1214.33333333," 11:26:03","08/03/2011",1056,36,"Block 3:",959.5
5062,"NA",1701.33333333," 0856","NA"," 42454",1373.5,"NA",4011,"NA","NA","NA","NA","NA"," 11:26:03","08/03/2011",7384,8,"Block 4:","NA"
2116.75,1594.33333333,2210," 0856",1058," 62955",2012.5,1845,2140,1199,"NA",1105,1760.5,1074," 11:26:03","08/03/2011",2575,35,"Block 5:",1367.66666667
1167,"NA",987," 1004","NA"," 16946",1574.5,"NA",874,"NA","NA","NA",1142.5,"NA"," 13:23:09","05/04/2011",2084,12,"Block 1:","NA"
"NA",848,"NA"," 1004","NA"," 12477","NA",1255,"NA",1059.33333333,957,1043.66666667,"NA",1036," 13:23:09","05/04/2011","NA",12,"Block 2:","NA"
779,1071,4310.75," 1004",1553," 47491","NA","NA",820.5,1033,792.25,613,833.75,731," 13:23:09","05/04/2011",1122.25,35,"Block 3:",1001.83333333
1448,"NA","NA"," 1004","NA"," 10255",668.5,"NA",556,"NA","NA","NA",928,"NA"," 13:23:09","05/04/2011",670.5,11,"Block 4:","NA"
1301.8,1156,1973," 1004",2103.5," 60733",2403,1343.5,1584.25,2594,823,2642.5,937,1026.5," 13:23:09","05/04/2011",1641,32,"Block 5:",1812
781.2,"NA",832.5," 1011","NA"," 9212",713,"NA",570,"NA","NA","NA",894,"NA"," 13:24:40","21/03/2011","NA",12,"Block 1:","NA"
"NA",688.666666667,"NA"," 1011",751.5," 9355","NA",1330,"NA",544,"NA","NA","NA",653.666666667," 13:24:40","21/03/2011","NA",12,"Block 2:",621
600.5,612.5,996.5," 1011",795," 34543",1038,946.666666667,822,760.666666667,872,1087,1145.33333333,1576," 13:24:40","21/03/2011",969.5,31,"Block 3:",651
1464.5,"NA",865," 1011","NA"," 11156",932.666666667,"NA",1185,"NA","NA","NA",608,"NA"," 13:24:40","21/03/2011",649,8,"Block 4:","NA"
648.25,923.5,831.666666667," 1011",605," 32153",846.833333333,756.4,"NA",989,603,1241,925.666666667,734.5," 13:24:40","21/03/2011",2353.5,30,"Block 5:",523
459.5,"NA",501," 1101","NA"," 6333",536.333333333,"NA",505.5,"NA","NA","NA",759,"NA"," 12:15:07","24/01/2011",523,12,"Block 1:","NA"
"NA",1182,"NA"," 1101",556.5," 8493","NA",643.5,"NA",661,551,474,"NA",1047.5," 12:15:07","24/01/2011","NA",11,"Block 2:",469
700.5,"NA",886.5," 1101",709," 28125","NA",617,724.6,549,554.5,868.333333333,628.5,813," 12:15:07","24/01/2011",806.2,35,"Block 3:",1179.75
472,"NA",1003.5," 1101","NA"," 8790","NA","NA",754,"NA","NA","NA",572.25,"NA"," 12:15:07","24/01/2011",630.5,12,"Block 4:","NA"
611,770,972," 1101",597," 34498",740,2507,607.666666667,1032.33333333,723.5,889.2,2704.5,819.5," 12:15:07","24/01/2011",521.5,35,"Block 5:",822.25
982,"NA",1405.5," 1103","NA"," 38201",10084.5,"NA",968.5,"NA","NA","NA",3422.33333333,"NA"," 15:21:06","23/03/2011",1053,11,"Block 1:","NA"
"NA",1784.33333333,"NA"," 1103",870," 13975","NA","NA","NA",1058,"NA",974.75,"NA",868.5," 15:21:06","23/03/2011","NA",12,"Block 2:","NA"
878.333333333,781,835," 1103",974.666666667," 37913",828,1746.75,879,920,595,922,1612,756.5," 15:21:06","23/03/2011",1369.25,36,"Block 3:",773.333333333
555.333333333,"NA",1238," 1103","NA"," 16524",1197,"NA",674,"NA","NA","NA",6099,"NA"," 15:21:06","23/03/2011",1071.66666667,12,"Block 4:","NA"
