Participant,Age,Gender,Course,Occcupation,Prime,LOTR1,LOTR3,LOTR4,LOTR7,LOTR9,LOTR10,MAAS1,MAAS2,MAAS3,MAAS4,MAAS5,MAAS6,MAAS7,MAAS8,MAAS9,MAAS10,MAAS11,MAAS12,MAAS13,MAAS14,MAAS15,Pill1,Pill2,Pill3,Cream1,Cream2,Cream3,Inj1,Inj2,Inj3,Acu1,Acu2,Acu3,Hom1,Hom2,Hom3,Reiki1,Reiki2,Reiki3
1234,21,female,,,,4,4,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,20,female,,,,3,3,4,3,4,5,3,2,4,3,2,2,4,4,3,4,3,3,2,4,6,4,4,3,4,4,3,3,4,4,4,4,4,1,1,1,4,3,4
2712,24,female,,,,3,3,5,4,5,5,4,6,3,4,5,3,5,3,5,4,5,6,3,5,6,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2
5701,42,male,,,,4,3,4,3,4,5,6,5,5,3,4,3,4,5,3,5,3,6,3,6,6,2,1,2,1,1,1,2,1,1,3,1,2,4,3,3,2,2,2
1879,21,female,,,,4,3,4,3,4,4,5,4,5,1,2,2,3,5,5,4,2,4,5,4,5,4,4,3,3,3,3,5,5,5,2,2,2,2,2,1,1,1,1
1903,18,male,,,,4,3,3,5,3,3,5,5,4,5,3,4,4,4,4,4,5,6,5,4,3,3,1,3,3,1,3,5,1,5,2,1,2,1,1,1,1,1,1
2456,28,female,,,,4,5,4,5,5,5,5,5,4,2,2,2,2,2,2,2,2,2,3,3,4,2,2,1,3,3,3,5,5,5,4,4,4,2,2,2,3,3,3
4325,26,female,,,,4,3,4,4,4,5,4,5,5,5,6,6,5,5,4,4,5,3,4,5,4,4,4,4,4,4,5,5,4,4,3,4,3,2,2,2,1,1,1
2003,18,female,,,,4,5,3,2,2,3,4,5,2,2,6,6,3,1,2,5,4,6,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6334,19,female,,,,4,5,5,5,4,5,6,5,6,5,5,6,6,5,5,5,6,6,5,6,5,4,3,4,3,3,3,1,1,1,3,3,4,4,3,2,2,3,3
