"Participant","Illusory","Acupuncture","Correct","Real","Inaccurate","Lies","Date","Reiki","Injections","Actual","Truth","Time","Homeopathy","Block","Accurate","FlowerEssence","BlockTime","Fake","Surgery","Pills","Cream"
1089,"NA","NA",11,882,964,680.5,"24/01/2011","NA","NA",592,"NA"," 14:23:27","NA","Block 1:","NA","NA"," 8833",520,"NA","NA","NA"
1089,"NA","NA",11,"NA","NA","NA","24/01/2011",828,1862,"NA","NA"," 14:23:27",1255,"Block 2:","NA","NA"," 18218","NA",2035,1053.5,"NA"
1089,882.25,937.5,35,677.75,717,803,"24/01/2011",802,1049,812.5,1597.5," 14:23:27",810,"Block 3:",696,1099," 35805",626,729,"NA",5213
1089,713,"NA",10,1815,1481.5,1034.66666667,"24/01/2011","NA","NA","NA",555," 14:23:27","NA","Block 4:",861.5,"NA"," 12141","NA","NA","NA","NA"
1089,1600.5,1922,31,1496.75,1344.5,714,"24/01/2011",1133.33333333,1936.2,"NA",1130.5," 14:23:27","NA","Block 5:",1341.33333333,801.5," 50523",883,959.333333333,1287,3236
" 0007",2269,"NA",12,1730,1249,1438,"08/03/2011","NA","NA",1031,"NA"," 16:14:43","NA","Block 1:",1701.5,"NA"," 18405",1469.66666667,"NA","NA","NA"
" 0007","NA",1046,11,"NA","NA","NA","08/03/2011",1427,1151,"NA","NA"," 16:14:43","NA","Block 2:","NA",1226," 21020","NA","NA",1644.33333333,2921.33333333
" 0007",1297.5,1256.75,35,764.5,2098.33333333,1361.66666667,"08/03/2011",1681,892.5,1237,"NA"," 16:14:43",857,"Block 3:",1206.16666667,873," 44363",1094,1273.5,"NA",779
" 0007",1177,"NA",11,1130.5,2427,955.5,"08/03/2011","NA","NA",834,"NA"," 16:14:43","NA","Block 4:",1261.66666667,"NA"," 14698",1151.5,"NA","NA","NA"
" 0007",1787.5,1581,28,2579,1441,2282.33333333,"08/03/2011",3234.5,1889.66666667,1183,1362," 16:14:43",4093,"Block 5:",1736.5,3544," 81196",1045,3482.66666667,2376,3826.5
" 0234",658,"NA",12,"NA",570.666666667,594,"08/04/2011","NA","NA",1383.5,621," 13:25:23","NA","Block 1:",658.333333333,"NA"," 8968",641,"NA","NA","NA"
" 0234","NA",678.333333333,12,"NA","NA","NA","08/04/2011",588,843,"NA","NA"," 13:25:23",594,"Block 2:","NA",1105," 10325","NA",829.5,"NA",1167
" 0234",775,914.2,33,661.5,"NA",766,"08/04/2011",673,920.333333333,814,575," 13:25:23",706.333333333,"Block 3:",846,883.8," 28935","NA",602,743,1000.5
" 0234","NA","NA",10,937.333333333,2119,1042.5,"08/04/2011","NA","NA",1461,635," 13:25:23","NA","Block 4:","NA","NA"," 14287",797.5,"NA","NA","NA"
" 0234",1921.75,1746.33333333,30,749.5,1373,1229,"08/04/2011",1270,2416.5,1819,1680.5," 13:25:23",659.333333333,"Block 5:","NA",1085.66666667," 48914",932,1316,1140,778.333333333
" 0317",1652.5,"NA",12,954,887.666666667,"NA","18/01/2011","NA","NA",823.666666667,792," 14:51:22","NA","Block 1:",952,"NA"," 12005",868,"NA","NA","NA"
" 0317","NA","NA",10,"NA","NA","NA","18/01/2011",715,998,"NA","NA"," 14:51:22",1562.5,"Block 2:","NA","NA"," 17278","NA",826.5,2679.66666667,1016.5
" 0317",768,825.2,36,821.8,821.666666667,"NA","18/01/2011","NA",906.333333333,852,843.333333333," 14:51:22","NA","Block 3:",779,961," 31874",716.333333333,703,3038,856
" 0317",1774,"NA",12,683.5,"NA",740,"18/01/2011","NA","NA",749.5,"NA"," 14:51:22","NA","Block 4:",778.666666667,"NA"," 9939",741.5,"NA","NA","NA"
" 0317",1613,1656.5,30,1306,1432,1635.5,"18/01/2011",1002.33333333,2446,894.5,1836," 14:51:22",1537,"Block 5:",1297,1073," 50308",1926,1018,962.666666667,1432
" 0405",1661,"NA",12,900.5,886,1306,"09/03/2011","NA","NA",1383,679," 12:22:14","NA","Block 1:",738,"NA"," 12805",1344,"NA","NA","NA"
" 0405","NA",1472,12,"NA","NA","NA","09/03/2011",654.5,"NA","NA","NA"," 12:22:14",674,"Block 2:","NA",753," 11108","NA",992,920,921.5
" 0405",1039,1118.5,33,1107,910.25,1184,"09/03/2011",969,"NA",1164,1376," 12:22:14",1213,"Block 3:",974,1105," 40035",994,1055,1156.4,1456
" 0405",2318,"NA",11,631,1486,1153.5,"09/03/2011","NA","NA",1513,600.5," 12:22:14","NA","Block 4:",888.5,"NA"," 14120",1443.5,"NA","NA","NA"
