PP.No,Block, Them,Theirs,Themselves,Me,Myself,Mine, Disimproving,Sad,Failing,Worse,Succeeding,Happy,Improving,Better,Block.Time,Ntrials,OptSelf,OptOther,PessSelf,PessOther,MeanDiffOpt,Sd,PooledSd,DIAT,LOTR Total,Age,Gender
1234,1,1066,1162.25,1648,816.33,772,1100,NA,NA,NA,NA,NA,NA,NA,NA,12784,12,NA,NA,NA,NA,NA,314.06,NA,NA,NA,NA,NA
1234,2,NA,NA,NA,NA,NA,NA,877,,3089,597.5,562,629,1148.5,13027.5,38670,12,NA,NA,NA,NA,NA,4576.53,NA,NA,NA,NA,NA
1234,3,1002,2459,2039,531.5,796.33,847,743,472,533.5,514.5,597,1002,596,1129,22374,24,831,NA,NA,565.75,400.83,594.47,734.22,0.55,4.5,21,Female
1234,4,432,498.5,773,888,2292,700,NA,NA,NA,NA,NA,NA,NA,NA,11355,12,NA,NA,NA,NA,NA,688.27,NA,NA,NA,NA,NA
1234,5,NA,1634,1300,761.2,735,963.5,NA,1665,1733,3753,NA,828.5,1958,909,30571,24,NA,1231.83,2383.67,NA,NA,873.97,NA,NA,NA,NA,NA
1607,1,1975,1928,5962,2484,2901,2238.5,NA,NA,NA,NA,NA,NA,NA,NA,29420,12,NA,NA,NA,NA,NA,1535.29,NA,NA,NA,NA,NA
1607,2,NA,NA,NA,NA,NA,NA,1754,2002.5,NA,1847,1670,1119,NA,1274,20196,12,NA,NA,NA,NA,NA,343.08,NA,NA,NA,NA,NA
1607,3,4118,NA,NA,2508,1444.5,5059,1778,1189,NA,1872.75,NA,2187.67,2431,2125,55695,24,2247.89,NA,NA,1613.25,88.44,1208.7,1085.11,0.08,3.33,20,Female
1607,4,1401.75,NA,2296.33,915.5,1348,1120,NA,NA,NA,NA,NA,NA,NA,NA,17915,12,NA,NA,NA,NA,NA,528.66,NA,NA,NA,NA,NA
1607,5,3676,3876.5,2610,2996,2315.5,1723.5,3969.67,1023,3087.5,2063.5,3472,2151,NA,1386,67817,24,NA,2336.33,2535.92,NA,NA,961.52,NA,NA,NA,NA,NA
