"Pp.No","Time","Block"," Inaccurate","Fake","Illusory","Lies","Accurate","Truth","Actual","Real"," Acupuncture","Reiki","flower essence","Homeopathy","Surgery","Injections","Pills","Cream","Incorrect","BlockTime","STDEV","Std.Pooled","Av.Real","Av.Fake","Av.Conv","Av.Alt","ConvReal","ConvFake","AltReal","AltFake","MeanDiff","DIAT.Conv","DIAT.Alt"
1032,23/11/10 15:39,3,1484,750,1126,1101.25,852.5,1054,1015,858.67,931.67,973.67,1137.67,800.33,625,939,1011,895,3,35797,195.8,"NA",945.04,1115.31,867.5,960.83,906.27,"NA","NA",1038.07,80.14,"NA",0.34
1032,23/11/10 15:39,5,1137,"NA",1320,1173.5,1164,"NA",1003,"NA",999,765,778,787.5,953.4,746.5,1732.5,979.17,3,36345,275.22,235.51,1083.5,1210.17,1102.89,832.38,"NA",1156.53,957.94,"NA",-250.26,-1.06,"NA"
1703,27/11/10 12:50,3,911,958.5,721.5,967,"NA",575,718,772,933.33,761.25,869,"NA",831.33,799.5,874,874,15,30576,109.57,"NA",688.33,889.5,844.71,854.53,766.52,"NA","NA",872.01,-144.77,"NA",-0.41
1703,27/11/10 12:50,5,1046,"NA",2550,1060.75,1273.67,1160,849,650,1802,323,926.6,1150,2118,1072,1651,"NA",19,41693,589.67,349.62,983.17,1552.25,1613.67,1050.4,"NA",1582.96,1016.78,"NA",-816.44,-2.34,"NA"
2236,27/11/10 15:12,3,1194,977,1383,911.6,"NA",1215,1304,600.75,1516,1108,702.5,999.5,"NA",1063,910.5,895.5,0,37798,253.67,"NA",1039.92,1116.4,956.33,1081.5,998.13,"NA","NA",1098.95,-785.51,"NA",-1.89
2236,27/11/10 15:12,5,1142.25,773.5,2664,1027.5,"NA",2156,2482,1947,"NA",1637.25,1445.5,1639,1133.5,1978.5,1315,1057,4,60926,576.71,415.19,2195,1401.81,1371,1573.92,"NA",1386.41,1884.46,"NA",-388.28,-0.94,"NA"
2346,30/11/10 14:46,3,795,523,1501,849,"NA","NA",1144,886.67,746,750.67,850,1599.67,653,623,842.25,1110,3,37798,315.57,"NA",1015.33,917,807.06,986.58,911.2,"NA","NA",951.79,256.95,"NA",1.01
2346,30/11/10 14:46,5,663,553,603,653,678.25,548.67,768.67,995,646,805.5,603.67,513,"NA",732,"NA",1223,3,26476,192.17,253.87,747.65,618,977.5,642.04,"NA",797.75,694.84,"NA",113.45,0.45,"NA"
5185,25/11/10 14:21,3,703,787.5,647.5,917.5,723.17,716.5,1098.67,883.67,806.67,643,629,"NA",719,3000,1187,930.5,1,33139,588.06,"NA",855.5,763.88,1459.13,692.89,1157.31,"NA","NA",728.38,-297.47,"NA",-0.77
5185,25/11/10 14:21,5,1062.63,1226.5,862,1274,1287.5,796,"NA","NA",774,1049.5,1256,960.33,1090,802.5,1197,938.67,3,40124,188.14,388.1,1041.75,1106.28,1007.04,1009.96,"NA",1056.66,1025.85,"NA",100.65,0.26,"NA"
7980,29/11/10 11:48,3,"NA","NA",783.5,902,826,883.5,885.33,1398,1055,880.5,1001,1433.5,937,1508,792.5,963,0,35655,244.81,"NA",998.21,842.75,1050.13,1092.5,1024.17,"NA","NA",967.63,-362.08,"NA",-1.12
7980,29/11/10 11:48,5,1918,2371,1051.67,1581.75,911,1347,1702.33,940.33,1961,1265,1543,968,1565,1463.5,1263,1391,2,62740,404.63,324.72,1225.17,1730.6,1420.63,1434.25,"NA",1575.61,1329.71,"NA",-551.45,-1.7,"NA"
8023,27/11/10 16:54,3,1485,964,835.5,873.5,688,899,1156,2051.5,897.5,1262,657.5,1097.5,"NA",1013.33,1093,2237,2,46207,457.97,"NA",1198.63,1039.5,1447.78,978.63,1323.2,"NA","NA",1009.06,-469.83,"NA",-1.19
8023,29/11/10 16:54,5,2014.5,"NA",1040,1896.5,1389,1632,1708.5,1407,1760.67,1675,1280.33,978.67,"NA",1627,1755,1054.33,5,65049,329.38,393.68,1534.13,1650.33,1478.78,1423.67,"NA",1564.56,1478.9,"NA",-241.35,-0.61,"NA"
