;"GSR.8023";"BP.8023";"VAS.8023"
"8023.min1";-1.26393833333333;185.2094;-0.0224616666666667
"8023.min2";-5.38964833333333;21.1134;-0.0219533333333333
"8023.min3";-7.65440166666667;52.2159;-0.0221716666666667
"8023.min4";-2.77530666666667;-21.2582;-0.02085
"8023.min5";7.36318;3.0803;-0.0231966666666667
"8023.min6";0.412428333333333;-3.6844;-0.0232616666666667
"8023.min7";0.205983333333333;-2.8627;-0.0238333333333333
"8023.min8";6.661585;14.6624;-0.0247316666666667
"8023.min9";11.0386983333333;14.1368;-0.344916666666667
"8023.min10";10.70394;-1.1527;-0.529518333333333
"8023.min11";7.01416166666667;4.4721;-0.544245
"8023.min12";10.9163016666667;-28.9521;-0.542613333333333
"8023.min13";15.2290883333333;13.5451;-0.554271666666667
"8023.min14";8.57808333333333;16.8557;-0.576051666666667
"8023.min15";5.03305833333333;-2.6456;-0.579741666666667
"8023.min16";5.18170333333333;8.4205;-0.577663333333333
"8023.min17";12.921385;14.0503;-0.577368333333333
"8023.min18";9.42016166666667;-10.3885;-0.59415
"8023.min19";10.995585;-0.5669;-0.62743
"8023.min20";12.36637;0.383799999999999;-0.58266
"8023.min21";9.51656666666667;-6.1704;-0.580868333333333
"8023.min22";11.5589566666667;-2.4047;-0.59171
"8023.min23";12.0724766666667;1.0426;-0.62655
"8023.min24";14.87096;7.7659;-0.63846
"8023.min25";17.7452766666667;6.58;-0.691631666666667
"8023.min26";15.4225116666667;4.2328;-0.715636666666667
"8023.min27";-5.38964833333333;21.1134;-0.0219533333333333
