"Pp.No","Time","Block","Themselves","Them","Theirs","Me","Myself","Mine","Disimproving","Worse","Sad","Failing","Happy","Succeeding","Better","Improving","No.trials","Incorrect"
1032,23/11/10 15:36,1,734,662.33,556,557.5,645,761,"NA","NA","NA","NA","NA","NA","NA","NA",,
1032,23/11/10 15:36,2,"NA","NA","NA","NA","NA","NA",743,690,729,813,761,754,694,,,0
1032,23/11/10 15:36,3,662.5,694.67,1255.75,717.25,606.75,743.5,919.33,1441,1150,1789.5,731,,874,950.8,,1
1032,23/11/10 15:36,4,586,567.33,563,712,589,,"NA","NA","NA","NA","NA","NA","NA","NA",,
1032,23/11/10 15:36,5,1029.75,2508,1040.67,903.33,1390.2,895,807,1184,1926,1289,1043,1237,1394.67,1417,,4
5185,25/11/10 14:25,1,,553,,442.33,431.5,423.5,"NA","NA","NA","NA","NA","NA","NA","NA",,
5185,25/11/10 14:25,2,"NA","NA","NA","NA","NA","NA",1096,666,537,548,473,588.5,,469,,
5185,25/11/10 14:25,3,786.5,625.75,883,319.29,570,502.33,833,,616.5,669,644.25,,982,711,,2
5185,25/11/10 14:25,4,484,528,464.5,433.5,493,326,"NA","NA","NA","NA","NA","NA","NA","NA",,0
5185,25/11/10 14:25,5,774.67,792.25,1104.2,697,,846.2,1079,829,798,784.5,1558,1048,831.5,778,,
8023,25/11/10 16:50,1,791.33,792,,778.67,876,883,"NA","NA","NA","NA","NA","NA","NA","NA",,0
8023,25/11/10 16:50,2,"NA","NA","NA","NA","NA","NA",720,1017,712.5,713,,710.67,667,728,,0
8023,25/11/10 16:50,3,2668.5,659.33,667,616.8,1473.25,1363.25,2161,1861,1131.67,1003,586.67,495,669.5,1608.5,,2
8023,25/11/10 16:50,4,785,908.33,690,1401,904,1200.5,"NA","NA","NA","NA","NA","NA","NA","NA",,0
8023,25/11/10 16:50,5,1388.5,1987.25,2151,1434,1992,2042.5,1094.5,1118.5,1344,2627.5,831.67,1781.5,1742,883.5,,
1703,27/11/10 12:47,1,1691,1652,,734.5,676,1736.5,"NA","NA","NA","NA","NA","NA","NA","NA",,2
1703,27/11/10 12:47,2,"NA","NA","NA","NA","NA","NA",,724,781.5,1018,681,,2176,819,,1
1703,27/11/10 12:47,3,1172.8,997.25,737.33,755,996.8,690,1227.67,,801,,922.5,680,576,935,,7
1703,27/11/10 12:47,4,1403,675.67,1057.5,852,774.5,612,"NA","NA","NA","NA","NA","NA","NA","NA",,1
1703,27/11/10 12:47,5,862,469,1559.5,388,1226.33,1403,1400,,651,1085.33,1498.2,702,1631,1678.75,,11
2236,27/11/10 15:09,1,1287,894,1279.67,649,902,849.5,"NA","NA","NA","NA","NA","NA","NA","NA",,0
2236,27/11/10 15:09,2,"NA","NA","NA","NA","NA","NA",999,947.67,871,1182,869,,856.5,734,,0
2236,27/11/10 15:09,3,1669.5,940.67,1043.67,1024.33,682.5,979,1549.67,1691.5,892.67,587,1055.67,1170.5,738,998.33,,0
2236,27/11/10 15:09,4,918,,763.5,628.67,1065,,"NA","NA","NA","NA","NA","NA","NA","NA",,0
2236,27/11/10 15:09,5,1258,1828.5,1347.67,1414,1260.2,1239.6,823,1421.5,2056,,1315,633,1430.75,1322,,0
1980,27/11/10 15:09,1,1239.5,667,705,609,610,570,"NA","NA","NA","NA","NA","NA","NA","NA",,0
1980,27/11/10 15:09,2,"NA","NA","NA","NA","NA","NA",749,711,,,,682.5,830,758,,0
1980,27/11/10 15:09,3,850.33,,1049.33,783.75,679,895,824,819.67,912,1298,821,698.5,,1388.67,,0
1980,27/11/10 15:09,4,721,572,608,628,555,632.5,"NA","NA","NA","NA","NA","NA","NA","NA",,0
1980,27/11/10 15:09,5,1584,946,747,597,1157.67,953.5,1046,1563,1233,1965.67,921.5,884,972,1326.67,,2
2346,30/11/10 14:42,1,924.5,,790.33,531.5,597.5,761,"NA","NA","NA","NA","NA","NA","NA","NA",,0
2346,30/11/10 14:42,2,"NA","NA","NA","NA","NA","NA",1113,726,809,724,,649,634.67,,,0
2346,30/11/10 14:42,3,1355.5,2032,1101.25,891,,1461.33,1080,1213,785,981.67,690,1610.5,1222.25,1268.5,,1
2346,30/11/10 14:42,4,784.5,807.67,825.5,,502,494,"NA","NA","NA","NA","NA","NA","NA","NA",,0
2346,30/11/10 14:42,5,1491.5,582,,1562,558,942.17,1372,872.33,737,845.67,1158,993.33,1349,917.67,,2
