"Pp.No","Time","Block","Themselves","Them","Theirs","Me","Myself","Mine","Disimproving","Worse","Sad","Failing","Happy","Succeeding","Better","Improving","No.trialsOpt","BlockTimeOpt","IncorrectOpt","STDEV","PooledSDOpt","OptSelf","OptOther","PessSelf","PessOther","MeanDiff","DIATOpt"
1032,23/11/10 15:36,3,662.5,694.67,1255.75,717.25,606.75,743.5,919.33,1441,1150,1789.5,731,,874,950.8,36,34602,1,352.83,"NA",770.55,"NA","NA",1130.39,"NA","NA"
1032,23/11/10 15:36,5,1029.75,2508,1040.67,903.33,1390.2,895,807,1184,1926,1289,1043,1237,1394.67,1417,36,47891,4,453.1,402.96,"NA",1381.44,1199.22,"NA",-610.89,-1.52
1703,27/11/10 12:47,3,1172.8,997.25,737.33,755,996.8,690,1227.67,"NA",801,"NA",922.5,680,576,935,36,33540,7,202.07,"NA",793.61,"NA","NA",987.21,"NA","NA"
1703,27/11/10 12:47,5,862,469,1559.5,388,1226.33,1403,1400,"NA",651,1085.33,1498.2,702,1631,1678.75,36,44427,11,456.56,329.32,"NA",1200.06,1025.61,"NA",-406.45,-1.23
1980,27/11/10 15:09,3,850.33,,1049.33,783.75,679,895,824,819.67,912,1298,821,698.5,,1388.67,36,33474,0,221.47,"NA",877.65,"NA","NA",958.89,"NA","NA"
1980,27/11/10 15:09,5,1584,946,747,597,1157.67,953.5,1046,1563,1233,1965.67,921.5,884,972,1326.67,36,44110,2,369.34,295.41,"NA",1054.45,1216.55,"NA",-176.8,-0.6
2236,27/11/10 15:09,3,1669.5,940.67,1043.67,1024.33,682.5,979,1549.67,1691.5,892.67,587,1055.67,1170.5,738,998.33,36,42426,0,344.62,"NA",949.76,"NA","NA",1196.38,"NA","NA"
2236,27/11/10 15:09,5,1258,1828.5,1347.67,1414,1260.2,1239.6,823,1421.5,2056,"NA",1315,633,1430.75,1322,36,50368,0,360.85,352.74,"NA",1304.99,1369.05,"NA",-355.23,-1.01
2346,30/11/10 14:42,3,1355.5,2032,1101.25,891,,1461.33,1080,1213,785,981.67,690,1610.5,1222.25,1268.5,36,43904,1,360.27,"NA",1190.6,"NA","NA",1221.2,"NA","NA"
2346,30/11/10 14:42,5,1491.5,582,"NA",1562,558,942.17,1372,872.33,737,845.67,1158,993.33,1349,917.67,36,47077,2,331.78,346.03,"NA",1081.92,984.17,"NA",108.68,0.31
5185,25/11/10 14:25,3,786.5,625.75,883,319.29,570,502.33,833,,616.5,669,644.25,,982,711,36,25226,2,178.44,"NA",621.48,"NA","NA",735.63,"NA","NA"
5185,25/11/10 14:25,5,774.67,792.25,1104.2,697,,846.2,1079,829,798,784.5,1558,1048,831.5,778,36,32756,0,231.78,205.11,"NA",983.8,838.95,"NA",-362.32,-1.77
8023,25/11/10 16:50,3,2668.5,659.33,667,616.8,1473.25,1363.25,2161,1861,1131.67,1003,586.67,495,669.5,1608.5,36,56312,2,673.56,"NA",973.28,"NA","NA",1450.21,"NA","NA"
8023,25/11/10 16:50,5,1388.5,1987.25,2151,1434,1992,2042.5,1094.5,1118.5,1344,2627.5,831.67,1781.5,1742,883.5,36,66353,0,529.21,601.38,"NA",1537.92,1664.71,"NA",-564.64,-0.94
