"GSR","BP","Pain"
0.074,8.2993,-0.0228
0.1875,0.4187,-0.0233
0.0912,2.5455,-0.0227
-1.6319,-2.2137,-0.0231
-1.5163,1.5506,-0.0183
-0.9048,1.5309,-0.0208
-0.9503,0.1106,-0.0199
-1.088,3.6958,-0.0253
-1.0645,3.0147,-0.0215
-0.7762,2.5734,-0.0235
-0.4425,3.2712,-0.0175
4.3196,0.1911,-0.0193
4.275,20.1609,-0.0252
4.7712,-8.6982,-0.0227
6.4115,-1.4133,-0.0228
6.1972,4.7696,-0.0229
5.8928,2.7205,-0.024
5.7052,11.0308,-0.0218
5.9627,-8.1742,-0.0211
6.2233,2.0458,-0.0246
6.3792,-0.7454,-0.0234
6.7854,3.9309,-0.0234
6.9824,12.0402,-0.0234
6.9627,-3.3764,-0.0217
7.4819,-5.0634,-0.0241
7.7639,12.0209,-0.0246
7.7371,-8.2143,-0.0229
7.7307,0.0956,-0.0215
7.721,13.5135,-0.0219
8.0482,-2.8478,-0.0239
8.5054,-2.4009,-0.0251
8.9554,3.1367,-0.0234
9.4947,10.8077,-0.0228
9.9702,-5.1459,-0.0204
10.1694,4.3031,-0.0224
10.7935,-2.4809,-0.022
11.0165,1.5951,-0.0174
10.9347,2.238,-0.0229
10.7942,10.5202,-0.0218
10.6344,-5.7621,-0.0211
10.4751,6.2151,-0.0221
10.3496,-3.4107,-0.0219
10.2508,-0.7826,-0.0198
10.1239,10.463,-0.0219
9.977,0.0221,-0.0229
9.8368,2.0519,-0.0216
9.7141,-2.8712,-0.0226
9.6872,1.3821,-0.0229
9.8713,10.6098,-0.0225
10.057,0.1416,-0.022
10.1578,-3.5773,-0.0211
10.3167,3.8594,-0.0218
10.4162,-4.1378,-0.023
10.3403,-1.9256,-0.0219
10.2204,13.0797,-0.0221
10.1179,-0.1006,-0.0224
9.9983,-5.3107,-0.0234
9.898,7.7612,-0.0222
9.9335,5.4,-0.0269
9.8602,-4.5667,-0.0222
9.8179,5.0652,-0.0233
10.0355,3.7986,-0.0235
10.1512,-0.156,-0.0209
10.1507,-2.8902,-0.0257
10.0938,2.0064,-0.0223
10.1862,1.8617,-0.0207
10.3035,6.6695,-0.0228
10.3359,2.6961,-0.0204
10.5196,-0.3951,-0.0229
10.6293,-4.0377,-0.0214
10.566,3.0213,-0.0235
10.4787,-0.8073,-0.0217
10.5282,0.056,-0.0242
10.6065,6.6038,-0.0227
10.557,0.8873,-0.0191
10.4516,1.8902,-0.0223
10.3774,-0.7694,-0.0224
10.2815,-2.2263,-0.0251
10.184,10.6518,-0.0215
10.2577,2.1622,-0.0221
10.5336,-0.2689,-0.0223
10.7501,0.1941,-0.0217
10.862,-0.6605,-0.022
10.969,-1.1895,-0.0203
11.023,-1.0986,-0.0212
11.0699,14.1193,-0.0227
11.1524,-3.989,-0.0216
11.2064,-1.2503,-0.0243
11.1992,9.5144,-0.0205
11.0373,-5.1052,-0.0235
10.9095,2.8409,-0.0225
10.8533,-3.0132,-0.0203
10.7782,0.7635,-0.0255
10.7362,-6.4433,-0.0191
10.7386,-0.7665,-0.0235
10.7278,-2.4895,-0.0203
10.7267,-0.2121,-0.0236
10.7724,1.5404,-0.0257
10.9915,4.2855,-0.0219
11.4571,-0.2028,-0.0215
11.5885,4.6031,-0.019
11.6267,3.3724,-0.0199
11.6062,5.2264,-0.0257
11.6046,1.2349,-0.0229
11.5831,-1.3441,-0.0209
11.7351,7.2344,-0.0233
12.0476,-0.0187,-0.0205
12.2893,-0.6947,-0.0221
12.5102,10.0064,-0.0222
12.5386,-5.84,-0.022
12.5403,3.5954,-0.0238
12.4583,-2.5304,-0.0212
12.3853,-0.5587,-0.0218
12.2799,6.8152,-0.0249
12.1362,-1.0689,-0.0219
12.0252,1.2686,-0.021
11.9353,-3.013,-0.0222
11.8189,-0.3172,-0.0229
11.7012,9.4353,-0.0209
11.6458,-4.5925,-0.0223
11.6304,0.1374,-0.0236
11.6139,10.9138,-0.0233
11.6038,1.6169,-0.0211
11.7522,-7.2376,-0.0231
11.8117,6.4119,-0.0239
11.7866,3.3121,-0.021
11.7256,-4.4658,-0.0215
11.7139,-2.2875,-0.0244
11.9148,-1.7062,-0.0222
12.0914,-0.5534,-0.0238
12.3792,5.8305,-0.0208
12.5882,0.4565,-0.0241
12.5271,7.0763,-0.022
12.5053,-3.678,-0.0191
12.4416,7.0136,-0.0223
12.4103,-3.7144,-0.0226
12.3665,7.4898,-0.0234
12.3221,-3.5415,-0.0208
12.2664,-3.0795,-0.0224
12.2067,3.2814,-0.0223
12.3906,-2.8636,-0.0241
12.6191,11.2892,-0.0194
12.6921,-8.0194,-0.0262
12.7644,-3.13,-0.0224
13.0217,6.0165,-0.0206
13.2609,-2.123,-0.0223
13.5402,9.3882,-0.0222
13.5399,-0.8359,-0.0201
13.4217,-6.9377,-0.0239
13.2792,1.1515,-0.0215
13.1521,14.6614,-0.0224
13.0469,-10.9392,-0.0229
13.0184,0.7179,-0.0229
13.4032,-6.3615,-0.0219
13.7949,10.9502,-0.0202
13.7314,-3.297,-0.0219
13.6825,-5.6313,-0.0213
13.6327,10.0555,-0.0215
13.5381,-1.4643,-0.0233
13.4752,-3.7956,-0.0204
13.4223,9.2481,-0.0228
13.3998,-4.0201,-0.0237
13.3821,1.7633,-0.023
13.6207,-2.4499,-0.0235
13.7183,-0.4739,-0.0235
13.7472,-0.376,-0.0221
13.7,-0.5486,-0.0198
13.6096,-1.0313,-0.0238
13.5317,17.0119,-0.0221
13.554,-5.5376,-0.0211
13.6159,3.8165,-0.0231
13.7539,-3.3978,-0.0225
13.9521,0.1077,-0.0211
13.9028,0.0728,-0.0234
13.7802,-1.5923,-0.0204
13.6598,10.4063,-0.0221
13.5574,4.3905,-0.0224
13.4724,-6.0833,-0.0204
13.4055,-0.4579,-0.0223
13.3334,-0.301,-0.0199
13.275,-1.9498,-0.0207
13.2497,-0.8158,-0.021
13.2131,14.9021,-0.0211
13.1804,-7.9705,-0.0238
13.2293,2.4911,-0.0206
13.3227,-4.3506,-0.0213
13.7732,-1.5227,-0.0211
14.1163,7.478,-0.0225
14.1834,-1.651,-0.0228
14.1548,4.956,-0.0257
14.2519,-2.5865,-0.0202
14.1695,-1.5413,-0.0221
14.0669,5.6516,-0.0235
14.0025,-5.0427,-0.02
13.9604,5.3836,-0.0238
13.947,2.6924,-0.019
13.9217,-5.6614,-0.0214
13.9293,0.5336,-0.0222
13.8802,-3.7065,-0.0224
13.8422,12.1371,-0.0191
13.7819,-4.5692,-0.0211
13.7793,-5.324,-0.0215
13.8021,7.2562,-0.0215
13.7541,-2.6784,-0.0215
13.6487,9.8179,-0.0196
13.5996,-5.8684,-0.0208
13.5418,1.5741,-0.0222
13.4819,-4.6385,-0.0202
13.5135,-2.4069,-0.02
13.5751,5.7881,-0.0217
13.4991,0.7165,-0.0178
13.4723,-2.8654,-0.0206
13.5032,1.219,-0.023
13.535,1.4064,-0.0189
13.5802,10.1945,-0.0188
13.7125,-1.8871,-0.0198
13.911,-2.1328,-0.0212
13.9329,-2.5906,-0.0215
13.9469,7.5678,-0.0195
13.9932,-4.2948,-0.019
14.2607,-3.236,-0.0227
14.5518,10.7607,-0.0207
14.539,-5.8476,-0.0214
14.5282,0.8597,-0.018
14.4641,-2.6909,-0.0207
14.4125,0.3999,-0.0213
14.3399,7.825,-0.0219
14.366,-4.205,-0.0208
14.3004,1.3595,-0.022
14.2007,-4.8059,-0.0216
14.1794,-0.1602,-0.0225
14.1918,13.9279,-0.0205
14.1877,-9.0389,-0.0218
14.12,2.9696,-0.0219
14.0884,-3.2316,-0.0206
14.0588,-0.3096,-0.0212
14.0563,7.6262,-0.0196
14.0382,-0.5901,-0.0219
14.3364,-4.4282,-0.0194
14.6568,12.5173,-0.0208
14.6851,-4.1078,-0.0223
14.5954,-4.9884,-0.0173
14.5342,-0.2855,-0.0213
14.4591,13.5738,-0.0184
14.3803,-4.3938,-0.0204
14.3318,-6.7792,-0.0215
14.2636,2.9336,-0.02
14.2093,-4.4991,-0.0221
14.19,9.5885,-0.0174
14.1372,-1.4867,-0.0203
14.0529,-3.3795,-0.0215
13.9731,-2.2901,-0.0195
13.9535,-0.6458,-0.0181
13.9148,6.6599,-0.0174
13.8602,-0.6069,-0.0196
13.8378,-3.916,-0.0209
13.8048,5.284,-0.0188
13.7759,-0.2816,-0.0194
13.8787,-2.0846,-0.0215
13.9133,5.8862,-0.0219
14.1435,4.7961,-0.0166
14.3613,-6.9861,-0.0176
14.4164,-0.6684,-0.0176
14.4719,-1.0011,-0.0184
14.4902,10.7349,-0.017
14.4171,-2.4487,-0.018
14.3142,-1.997,-0.0198
14.3135,-3.6312,-0.0214
14.42,-1.2251,-0.0183
14.5097,-0.8785,-0.0212
14.5186,13.6034,-0.0179
14.4565,-7.1679,-0.018
14.3781,5.6836,-0.021
14.3226,-6.3302,-0.0208
14.2224,-0.0457,-0.0208
14.2203,5.0885,-0.0188
14.1602,2.2248,-0.0213
14.1238,-3.3607,-0.0221
14.1294,-3.048,-0.0216
14.0861,9.8052,-0.02
14.0493,-6.7057,-0.0176
14.0358,1.5039,-0.0172
