,"GSR","BP","VAS"
1,40.9588,-11.9181,-0.0311
2,40.9588,58.1059,-0.03
3,40.9588,-32.4621,-0.0295
4,40.9588,-34.3023,-0.0298
5,40.9588,10.0639,-0.0294
6,40.9588,-1.2443,-0.0321
7,40.9588,4.322,-0.0305
8,40.9588,1.8474,-0.0327
9,40.9588,0.9967,-0.0309
10,40.9588,4.2846,-0.0312
11,40.9588,5.0694,-0.0316
12,40.9588,2.6185,-0.0301
13,40.9588,5.0779,-0.0303
14,40.9588,5.0214,-0.0297
15,40.9588,1.7603,-0.0302
16,40.9588,1.8379,-0.0295
17,40.9588,7.8148,-0.0286
18,40.9588,3.0147,-0.0278
19,40.9588,1.9475,-0.0303
20,40.9588,6.354,-0.0293
21,40.9588,4.4249,-0.0271
22,40.9588,0.8642,-0.0303
23,40.9588,7.6825,-0.029
24,40.9588,3.0082,-0.0307
25,40.9588,1.6646,-0.0288
26,40.9588,3.4662,-0.0302
27,40.9588,7.4628,-0.0298
28,40.9588,1.6355,-0.027
29,40.9588,0.4461,-0.0297
30,40.9588,8.3816,-0.0295
31,40.9588,1.8951,-0.0294
32,40.9588,4.0374,-0.0296
33,40.9588,6.648,-0.0303
34,4.2178,-7.243,-0.0256
35,5.0315,1.9951,-0.024
36,5.5213,0.1602,-0.0251
37,4.9438,2.5943,-0.0244
38,5.0512,-2.0251,-0.0261
39,7.3262,4.0274,-0.0228
40,8.2043,-4.3158,-0.0257
41,8.5159,2.0443,-0.024
42,8.1811,0.1354,-0.0247
43,8.0627,3.0121,-0.0258
44,7.1446,6.1582,-0.0225
45,6.7685,-0.3576,-0.0233
46,6.3878,0.0366,-0.0258
47,7.0855,-4.4278,-0.023
48,7.293,0.1801,-0.0264
49,6.9358,-1.2222,-0.0258
50,6.748,6.7788,-0.0243
51,7.799,3.7275,-0.0259
52,9.1416,-5.8753,-0.0294
53,8.7044,7.4796,-0.0253
54,9.1168,-2.817,-0.0227
55,8.4408,1.3945,-0.0273
56,8.1154,3.419,-0.0242
57,8.9216,-1.7075,-0.0233
58,8.6843,-3.0366,-0.0245
59,8.4059,-0.9844,-0.0267
60,7.9505,6.4552,-0.0215
61,7.7487,0.1455,-0.0235
62,8.0903,-2.904,-0.0245
63,7.6325,6.3713,-0.0218
64,7.2366,0.1341,-0.0243
65,6.9257,-1.5444,-0.0245
66,6.9224,1.8206,-0.0241
67,6.903,2.9971,-0.0217
68,6.8519,-2.1189,-0.0244
69,7.0303,-0.5172,-0.0234
70,7.478,4.121,-0.0249
71,7.4489,0.0461,-0.023
72,6.7542,-1.4528,-0.0219
73,6.5571,2.6873,-0.0242
74,6.8056,-2.3555,-0.0251
75,7.1261,2.3984,-0.0255
76,8.8598,0.4675,-0.0228
77,7.8383,-1.4542,-0.0232
78,7.0054,5.5029,-0.0238
79,7.0261,-0.0186,-0.0214
80,7.6924,-3.0814,-0.0206
81,7.9005,4.5101,-0.0239
82,6.8415,-2.0767,-0.0223
83,6.5188,-1.6575,-0.0253
84,7.4023,5.9496,-0.0238
85,8.9414,-2.5594,-0.0259
86,7.555,0.0699,-0.0269
