"Time","GSR","BP","VAS"
1,1.5633,6.9458,-0.0203
2,1.4465,9.8586,-0.0221
3,1.6072,-11.1417,-0.0218
4,1.9339,9.764,-0.0249
5,2.3263,-8.3669,-0.022
6,2.6566,6.3968,-0.0234
7,2.6614,4.6242,-0.0235
8,2.359,1.8731,-0.0189
9,2.0524,6.076,-0.0214
10,1.7723,-5.9732,-0.0222
11,1.5863,12.9992,-0.025
12,1.5424,-5.7588,-0.0222
13,1.7381,10.046,-0.0211
14,1.8005,-9.1623,-0.0211
15,1.952,8.3524,-0.0254
16,2.276,-2.8182,-0.0233
17,2.4317,8.1934,-0.0239
18,2.3613,-6.4767,-0.0216
19,2.6294,8.5629,-0.0183
20,2.6191,-6.484,-0.0207
21,2.9218,8.3136,-0.0254
22,3.5727,-6.6166,-0.0227
23,3.3783,6.5884,-0.0224
24,3.0826,-4.4822,-0.0186
25,3.0349,8.283,-0.0221
26,2.7889,-5.8341,-0.0195
27,2.5554,8.9543,-0.022
28,2.7401,4.1912,-0.0211
29,2.891,-3.2626,-0.0216
30,2.8078,7.0809,-0.0218
31,2.9829,-4.1616,-0.0218
32,2.9462,9.1175,-0.0217
33,3.2395,-8.775,-0.0218
34,3.503,6.1252,-0.0208
35,3.1964,-5.5873,-0.0204
36,3.3455,7.6031,-0.0217
37,4.0281,0.2907,-0.0219
38,3.7964,1.7202,-0.0246
39,3.3109,9.9873,-0.0211
40,3.5313,-8.2237,-0.0232
41,3.7924,6.2174,-0.0208
42,4.1897,-7.992,-0.0212
43,4.0231,7.7759,-0.0224
44,3.5941,9.1596,-0.02
45,3.2713,-9.1813,-0.0224
46,3.1176,4.4566,-0.0208
47,3.3793,3.0704,-0.0232
48,3.9896,-0.2857,-0.0229
49,4.6302,5.3923,-0.0218
50,4.5359,-5.0795,-0.0208
51,4.0114,1.7356,-0.0235
52,4.0315,3.8833,-0.0245
53,4.2898,-9.2528,-0.0242
54,4.7603,-1.2536,-0.0247
55,5.555,1.8574,-0.0232
56,5.7283,-0.5002,-0.0232
57,5.2519,2.3576,-0.023
58,4.7543,1.5573,-0.0251
59,4.9653,0.67,-0.0241
60,6.1235,3.1379,-0.0257
61,6.2031,9.9485,-0.0254
62,6.7461,-6.9617,-0.022
63,7.4544,3.6385,-0.026
64,7.1238,3.539,-0.0222
65,6.7114,-4.1137,-0.0259
66,6.7574,3.1706,0.0461
67,6.5789,-3.8607,-0.0123
68,6.8574,6.0782,-0.0272
69,7.3911,-1.2037,-0.0239
70,7.2224,3.8079,-0.0247
71,6.6707,7.7592,-0.0247
72,6.3572,-5.7886,-0.0223
73,6.3001,6.7602,-0.0271
74,6.8583,-7.1138,-0.0237
75,7.2295,2.273,-0.0263
76,6.8253,-4.8543,-0.0246
77,6.5257,5.0166,-0.0235
78,6.303,-3.6123,-0.0236
79,6.508,15.1045,-0.026
80,6.9326,-6.7701,-0.0223
81,6.3902,-3.3215,-0.0247
82,6.0678,1.314,-0.0241
83,6.1371,-1.1514,-0.0245
84,6.1526,-1.3315,-0.0231
85,5.9226,2.9693,-0.0266
86,5.7433,-4.0251,-0.0213
87,6.0147,5.6725,-0.0271
88,6.5246,5.0858,-0.0258
89,6.7285,6.2085,-0.024
90,6.6778,-3.2779,-0.0255
91,6.5314,6.8764,-0.0265
92,6.1982,-6.3447,-0.0263
93,6.1583,5.4744,-0.0255
94,6.5463,-5.072,0.0062
95,6.266,6.1978,-0.0094
96,5.898,-3.3497,-0.0166
97,6.5172,6.4541,-0.0263
98,6.983,-4.9709,-0.026
99,6.5137,4.9944,-0.0257
100,6.189,-5.2933,0.0435
101,5.8417,4.4479,-0.0271
102,5.7014,-5.7291,-0.023
103,5.5959,2.6265,-0.0292
104,5.7014,-1.0846,-0.0244
105,5.7734,7.7897,-0.0204
106,5.8472,0.8559,-0.0296
107,5.9759,-0.9764,-0.0253
108,5.8766,4.6268,-0.0204
109,6.0145,-1.4909,-0.0246
110,6.0441,-3.2188,-0.0251
111,5.8116,4.567,-0.0221
112,5.5801,0.2861,-0.0248
113,5.4565,-3.0932,-0.0255
114,5.3815,6.7581,-0.0246
115,5.3421,0.14,-0.0254
116,5.8418,3.3828,-0.0248
117,5.9869,5.3227,-0.0243
118,5.7695,-6.5463,-0.0237
119,6.1556,3.7736,-0.0242
120,6.415,-3.5469,-0.0247
121,6.9204,1.4006,-0.0246
122,6.7801,3.5247,-0.0249
123,6.3837,-5.676,-0.0274
124,6.0873,4.8907,-0.0223
125,6.047,-5.4197,-0.0216
126,6.0886,3.8168,-0.0227
127,5.9376,-2.0799,-0.0252
128,6.4,7.8858,-0.022
129,7.4375,-3.4139,-0.0265
130,7.8232,8.8433,-0.0213
131,7.3226,-4.9857,-0.0258
132,6.8136,7.0499,-0.0234
133,6.6882,-6.8282,-0.0216
134,6.6479,2.0122,-0.0238
135,6.5845,0.6969,-0.0217
136,6.3513,-3.9776,-0.0234
137,6.1909,7.6133,-0.0242
138,6.3938,-4.1602,-0.0231
139,6.7529,5.0829,-0.0245
140,6.5845,-5.212,-0.0248
141,6.3679,4.166,-0.0238
142,6.5901,-2.2132,-0.0224
143,7.684,7.5703,-0.026
144,7.5931,-2.853,-0.0247
145,6.9315,1.9115,-0.0245
146,6.5682,-1.5456,-0.0241
147,7.1154,1.0167,-0.0284
148,7.4408,1.0538,-0.0215
149,7.3742,-5.8622,-0.0237
150,8.0749,0.3269,-0.0244
151,8.0554,3.0028,-0.0263
152,7.752,-4.5168,-0.0245
153,8.662,0.4651,-0.025
154,8.5083,-2.8396,-0.0233
155,7.7079,-0.0289,-0.0256
156,7.4152,-3.7441,-0.023
157,7.3965,0.8275,-0.028
158,7.1415,5.493,-0.0199
159,6.9798,3.9738,-0.0239
160,6.9086,6.3714,-0.0241
161,6.9384,-3.685,-0.0221
162,7.3699,4.9684,-0.028
163,7.4484,1.8015,-0.0219
164,7.2386,-5.5113,-0.0251
165,7.264,3.7677,-0.0247
166,7.8523,-2.8776,-0.0254
167,8.0168,5.7603,-0.0227
168,7.732,5.8714,-0.0232
169,7.3951,-5.0042,-0.029
170,7.1806,10.2434,-0.0235
171,7.0485,-7.6606,-0.0239
172,7.1827,5.249,-0.027
