"Pp.No","Time","Block","StimName1","Correct1","Time1","StimName2","Correct2","Time2","StimName3","Correct3","Time3","StimName4","Correct4","Time4","StimName5","Correct5","Time5","StimName6","Correct6","Time6","StimName7","Correct7","Time7","StimName8","Correct8","Time8","StimName9","Correct9","Time9","StimName10","Correct10","Time10","StimName11","Correct11","Time11","StimName12","Correct12","Time12","StimName13","Correct13","Time13","StimName14","Correct14","Time14","StimName15","Correct15","Time15","StimName16","Correct16","Time16","StimName17","Correct17","Time17","StimName18","Correct18","Time18","StimName19","Correct19","Time19","StimName20","Correct20","Time20","StimName21","Correct21","Time21","StimName22","Correct22","Time22","StimName23","Correct23","Time23","StimName24","Correct24","Time24","StimName25","Correct25","Time25","StimName26","Correct26","Time26","StimName27","Correct27","Time27","StimName28","Correct28","Time28","StimName29","Correct29","Time29","StimName30","Correct30","Time30","StimName31","Correct31","Time31","StimName32","Correct32","Time32","StimName33","Correct33","Time33","StimName34","Correct34","Time34","StimName35","Correct35","Time35","StimName36","Correct36","Time36","BlockTime"
1032,23/11/10 15:39,," Inaccurate",1,2087,"Fake",1,760,"Actual",1,736,"Inaccurate",1,594,"Illusory",1,688,"Fake",1,627,"Real",1,721,"Fake",1,550,"Actual",1,633,"Inaccurate",1,571,"Truth",1,1094,"Illusory",1,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9645
1032,,," Acupuncture",1,1708,"Reiki",1,684,"Acupuncture",1,641,"flower essence",1,906,"Homeopathy",1,566,"Surgery",1,654,"Acupuncture",1,516,"Homeopathy",1,737,"Reiki",1,537,"Injections",1,611,"Homeopathy",1,580,"Injections",1,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8639
1032,,," Acupuncture",1,1431,"Reiki",1,746,"Truth",0,1133,"flower essence",1,1128,"Homeopathy",1,660,"Surgery",1,625,"Truth",1,975,"Accurate",1,831,"Fake",1,695,"Homeopathy",0,1102,"Fake",1,805,"Inaccurate",1,2073,"Real",1,1199,"Lies",1,911,"Pills",1,1011,"Reiki",1,925,"flower essence",1,1455,"Accurate",1,874,"Illusory",1,1126,"Injections",1,939,"Inaccurate",1,1604,"Acupuncture",1,796,"Cream",1,1079,"flower essence",1,830,"Cream",1,711,"Homeopathy",1,639,"Actual",1,929,"Lies",0,1222,"Acupuncture",1,568,"Inaccurate",1,775,"Lies",0,1377,"Actual",0,1101,"Real",1,656,"Lies",1,895,"Real",1,721,"Reiki",1,1250,35797
1032,,," Illusory",1,1211,"Real",1,642,"Inaccurate",1,705,"Accurate",1,743,"Actual",1,624,"Fake",0,835,"Accurate",1,1025,"Fake",1,620,"Lies",1,1253,"Inaccurate",1,632,"Actual",1,1266,"Truth",1,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10146
1032,,," Homeopathy",1,1375,"Accurate",1,1517,"Surgery",1,931,"Cream",1,995,"Reiki",1,853,"Surgery",1,667,"flower essence",1,744,"Cream",1,965,"Homeopathy",1,802,"Reiki",1,703,"Acupuncture",1,684,"Cream",1,759,"Accurate",1,1164,"Acupuncture",0,1314,"Reiki",1,870,"Illusory",1,1320,"Surgery",1,1071,"Injections",1,761,"flower essence",1,799,"Lies",1,1333,"Pills",1,2164,"Inaccurate",0,1253,"Actual",1,1003,"flower essence",1,907,"Pills",1,1301,"Cream",0,1459,"Lies",1,1014,"Surgery",1,1313,"Homeopathy",1,773,"flower essence",1,662,"Injections",1,732,"Cream",1,883,"Reiki",1,634,"Cream",1,814,"Surgery",1,785,"Inaccurate",1,1021,36345
5185,25/11/10 14:21,," Fake",1,1377,"Truth",1,947,"Accurate",1,1147,"Inaccurate",1,713,"Actual",1,667,"Real",1,619,"Lies",1,541,"Illusory",1,625,"Accurate",1,524,"Actual",1,549,"Accurate",1,485,"Inaccurate",1,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8658
5185,,," Acupuncture",1,1430,"Pills",1,626,"Surgery",1,615,"Cream",1,843,"flower essence",1,623,"Pills",1,693,"flower essence",1,618,"Acupuncture",1,778,"Surgery",1,613,"Cream",1,892,"flower essence",1,661,"Homeopathy",1,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9298
5185,,,"Fake",1,1319,"Injections",1,1422,"Actual",1,921,"Fake",1,847,"Illusory",1,626,"Truth",1,719,"Fake",1,728,"Accurate",1,591,"Surgery",1,719,"Actual",1,1089,"Reiki",1,643,"Accurate",1,798,"Inaccurate",1,703,"Acupuncture",1,843,"Lies",1,1254,"Truth",1,652,"Lies",1,581,"Acupuncture",1,853,"Real",1,803,"Truth",1,769,"Accurate",1,653,"Injections",0,3192,"Real",1,915,"Accurate",1,762,"Cream",1,1102,"Accurate",1,843,"Pills",1,725,"Truth",1,726,"Accurate",1,692,"Acupuncture",1,724,"Actual",1,1286,"flower essence",1,629,"Real",1,933,"Cream",1,759,"Pills",1,1649,"Illusory",1,669,33139
5185,,," Actual",0,2286,"Illusory",1,795,"Lies",1,1358,"Accurate",1,644,"Lies",1,555,"Actual",1,522,"Lies",1,496,"Real",1,580,"Inaccurate",1,593,"Truth",1,576,"Inaccurate",1,576,"Real",1,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9497
5185,,," Cream",1,3986,"Inaccurate",1,1141,"Truth",1,931,"Inaccurate",1,1045,"Surgery",1,818,"Homeopathy",1,1052,"Acupuncture",1,774,"Inaccurate",1,819,"Truth",1,684,"Inaccurate",1,741,"Accurate",1,756,"Inaccurate",1,946,"Pills",1,1197,"Cream",1,789,"Inaccurate",1,1467,"Lies",1,892,"Inaccurate",1,662,"Surgery",0,1362,"Cream",1,753,"Fake",0,1783,"Cream",1,1274,"Injections",1,763,"Homeopathy",1,730,"Inaccurate",0,1290,"Reiki",1,1326,"Illusory",1,1034,"Lies",1,1656,"Fake",1,670,"Illusory",1,690,"Truth",1,773,"Accurate",1,1819,"Homeopathy",1,1099,"flower essence",1,1256,"Injections",1,842,"Reiki",1,773,"Inaccurate",1,1531,40124
