"Pp.No","Time","Block"," Inaccurate","Fake","Illusory","Lies","Accurate","Truth","Actual","Real"," Acupuncture","Reiki","flower essence","Homeopathy","Surgery","Injections","Pills","Cream","Incorrect","BlockTime","STDEV","Std.Pooled","Av.Real","Av.Fake","Av.Conv","Av.Alt","ConvReal","ConvFake","AltReal","AltFake","MeanDiff","DIAT.Conv","DIAT.Alt"
1032,23/11/10 15:39,1,1334.75,645.67,636,"NA","NA",1094,684.5,721,"NA","NA","NA","NA","NA","NA","NA","NA",0,9645,291.91,"NA",833.17,872.14,,,"NA","NA","NA","NA","NA","NA","NA"
1032,23/11/10 15:39,2,"NA","NA","NA","NA","NA","NA","NA","NA",955,610.5,906,627.67,654,555,,"NA",0,8639,168.46,"NA",,,604.5,774.79,"NA","NA","NA","NA","NA","NA","NA"
1032,23/11/10 15:39,3,1484,750,1126,1101.25,852.5,1054,1015,858.67,931.67,973.67,1137.67,800.33,625,939,1011,895,3,35797,195.8,"NA",945.04,1115.31,867.5,960.83,906.27,"NA","NA",1038.07,80.14,"NA",0.34
1032,23/11/10 15:39,4,668.5,727.5,,1253,884,590,945,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1,10146,239.99,"NA",806.33,883,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
1032,23/11/10 15:39,5,1137,"NA",1320,1173.5,1164,"NA",1003,"NA",999,765,778,787.5,953.4,746.5,1732.5,979.17,3,36345,275.22,235.51,1083.5,1210.17,1102.89,832.38,"NA",1156.53,957.94,"NA",-250.26,-1.06,"NA"
5185,25/11/10 14:21,1,588.5,"NA",625,541,718.67,"NA",608,619,"NA","NA","NA","NA","NA","NA","NA","NA",0,8658,58.43,"NA",648.56,584.83,"NA","NA","NA","NA","NA","NA",,"NA","NA"
5185,25/11/10 14:21,2,"NA","NA","NA","NA","NA","NA","NA","NA",778,"NA",634,906,614,"NA",693,867.5,0,9298,121.75,"NA","NA","NA",724.83,772.67,"NA","NA","NA","NA",,"NA","NA"
5185,25/11/10 14:21,3,703,787.5,647.5,917.5,723.17,716.5,1098.67,883.67,806.67,643,629,"NA",719,3000,1187,930.5,1,33139,588.06,"NA",855.5,763.88,1459.13,692.89,1157.31,"NA","NA",728.38,-297.47,"NA",-0.77
5185,25/11/10 14:21,4,584.5,"NA",,803,644,576,522,548,"NA","NA","NA","NA","NA","NA","NA","NA",0,9497,101.73,"NA",572.5,693.75,"NA","NA","NA","NA","NA","NA",,"NA","NA"
5185,25/11/10 14:21,5,1062.63,1226.5,862,1274,1287.5,796,"NA","NA",774,1049.5,1256,960.33,1090,802.5,1197,938.67,3,40124,188.14,388.1,1041.75,1106.28,1007.04,1009.96,"NA",1056.66,1025.85,"NA",100.65,0.26,"NA"
8023,25/11/10 16:54,1,1050,"NA",674,872.75,958.33,1690,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,15341,384.31,"NA",1324.17,865.58,"NA","NA","NA","NA","NA","NA",,"NA","NA"
