Item,Text
MAASQ1,I could be experiencing some emotion and not be conscious of it until some time later
MAASQ2,"I break or spill things because of carelessness, not paying attention, or thinking of something else. "
MAASQ3,I find it difficult to stay focused on what’s happening in the present. 
MAASQ4,I tend to walk quickly to get where I’m going without paying attention to what I experience along the way
MAASQ5,I tend not to notice feelings of physical tension or discomfort until they really grab my attention
MAASQ6,I forget a person’s name almost as soon as I’ve been told it for the first time. 
MAASQ7,"It seems I am “running on automatic,” without much awareness of what I’m doing. "
MAASQ8,I rush through activities without being really attentive to them
MAASQ9,I get so focused on the goal I want to achieve that I lose touch with what I’m doing right now to get there. 
MAASQ10,"I do jobs or tasks automatically, without being aware of what I'm doing. "
MAASQ11,"I find myself listening to someone with one ear, doing something else at the same time. "
MAASQ12,I drive places on ‘automatic pilot’ and then wonder why I went there. 
MAASQ13,I find myself preoccupied with the future or the past
MAASQ14,I find myself doing things without paying attention
MAASQ15,I snack without being aware that I’m eating
